LaptopID,Brand,RamSize,StorageType,StorageCapacity
v1|145634064971|444763973904,Apple,16GB,SSD,512GB
v1|135164652941|0,Apple,8GB,SSD,512GB
v1|186424232932|0,Apple,4GB,Unknown,512GB
v1|275597549021|0,Apple,16GB,SSD,512GB
v1|365441830403|0,Apple,8GB,Unknown,512GB
v1|305754906505|0,Apple,Unknown,SSD,8GB
v1|235841762167|0,Apple,Unknown,SSD,8GB
v1|235843936750|0,Apple,Unknown,SSD,8GB
v1|335689841928|0,Apple,Unknown,SSD,8GB
v1|335689820305|0,Apple,Unknown,SSD,8GB
v1|204566784478|0,Apple,4GB,Unknown,8GB
v1|335689884765|0,Apple,Unknown,SSD,8GB
v1|316142714631|0,Apple,8GB,Unknown,Unknown
v1|376130138818|0,Apple,Unknown,Unknown,Unknown
v1|235829490083|0,Apple,4GB,Unknown,Unknown
v1|335696868311|0,Apple,Unknown,SSD,Unknown
v1|395916364774|0,Apple,Unknown,Unknown,Unknown
v1|235957372852|0,Apple,8GB,Unknown,Unknown
v1|235942205632|0,Apple,4GB,Unknown,Unknown
v1|335601306250|0,Apple,8GB,Unknown,Unknown
v1|235758939505|0,Apple,8GB,Unknown,Unknown
v1|135434219951|0,Apple,Unknown,Unknown,Unknown
v1|235935193985|0,Apple,8GB,Unknown,Unknown
v1|335831817603|0,Apple,4GB,Unknown,Unknown
v1|235758923413|0,Apple,8GB,Unknown,Unknown
v1|335601321395|0,Apple,8GB,Unknown,Unknown
v1|405502337339|0,Apple,Unknown,Unknown,Unknown
v1|134897087083|0,Apple,4GB,Unknown,Unknown
v1|235992926245|0,Apple,8GB,Unknown,Unknown
v1|235944937799|0,Apple,4GB,Unknown,Unknown
v1|266707029385|0,Apple,Unknown,Unknown,Unknown
v1|235289681513|0,Apple,8GB,Unknown,Unknown
v1|235957326286|0,Apple,8GB,Unknown,Unknown
v1|235952838698|0,Apple,8GB,Unknown,Unknown
v1|185702721300|0,Apple,Unknown,Unknown,Unknown
v1|335796437281|0,Apple,4GB,Unknown,Unknown
v1|235137216825|0,Apple,Unknown,Unknown,Unknown
v1|235942197921|0,Apple,8GB,Unknown,Unknown
v1|335802735868|0,Apple,4GB,Unknown,Unknown
v1|235958626657|0,Apple,4GB,Unknown,Unknown
v1|235946886847|0,Apple,8GB,Unknown,Unknown
v1|335811771816|0,Apple,4GB,Unknown,Unknown
v1|335799047623|0,Apple,8GB,Unknown,Unknown
v1|235758913759|0,Apple,8GB,Unknown,Unknown
v1|235829474923|0,Apple,8GB,Unknown,Unknown
v1|235944907149|0,Apple,8GB,Unknown,Unknown
v1|335512426317|0,Apple,8GB,Unknown,Unknown
v1|335313706706|0,Apple,8GB,Unknown,Unknown
v1|396329427144|0,Apple,Unknown,Unknown,Unknown
v1|335672815705|0,Apple,4GB,Unknown,Unknown
v1|235944952293|0,Apple,8GB,Unknown,Unknown
v1|335830132739|0,Apple,4GB,Unknown,Unknown
v1|335492157360|0,Apple,8GB,Unknown,Unknown
v1|335811742472|0,Apple,4GB,Unknown,Unknown
v1|335696847386|0,Apple,8GB,Unknown,Unknown
v1|235658245210|0,Apple,8GB,Unknown,Unknown
v1|235944875725|0,Apple,4GB,Unknown,Unknown
v1|235770659272|0,Apple,8GB,Unknown,Unknown
v1|235003603693|0,Apple,4GB,Unknown,Unknown
v1|355372672468|0,Apple,Unknown,Unknown,Unknown
v1|335384677714|0,Apple,8GB,Unknown,Unknown
v1|335599263055|0,Apple,8GB,Unknown,Unknown
v1|235675264734|0,Apple,4GB,Unknown,Unknown
v1|335831852141|0,Apple,4GB,Unknown,Unknown
v1|235928672590|0,Apple,4GB,Unknown,Unknown
v1|335304650567|0,Apple,16GB,Unknown,Unknown
v1|335384705703|0,Apple,8GB,Unknown,Unknown
v1|326309458728|0,Apple,4GB,Unknown,Unknown
v1|235768239765|0,Apple,8GB,Unknown,Unknown
v1|335636722528|0,Apple,8GB,Unknown,Unknown
v1|156648214044|0,Apple,Unknown,Unknown,Unknown
v1|126922200648|0,Apple,4GB,Unknown,Unknown
v1|235942187111|0,Apple,4GB,Unknown,Unknown
v1|335599622487|0,Apple,8GB,Unknown,Unknown
v1|186132893195|0,Apple,Unknown,Unknown,Unknown
v1|235942215124|0,Apple,8GB,Unknown,Unknown
v1|335697395305|0,Apple,4GB,Unknown,Unknown
v1|235946844803|0,Apple,4GB,Unknown,Unknown
v1|355402787891|0,Apple,Unknown,Unknown,Unknown
v1|235948542795|0,Apple,4GB,Unknown,Unknown
v1|235946848822|0,Apple,4GB,Unknown,Unknown
v1|235829622674|0,Apple,4GB,Unknown,Unknown
v1|335672951766|0,Apple,4GB,Unknown,Unknown
v1|335310142420|0,Apple,4GB,Unknown,Unknown
v1|335811767514|0,Apple,4GB,Unknown,Unknown
