Brand,Seller_ID,Avg_Price,Min_Price,Max_Price,Total_Listings,Price_Tendency
HP,poeent,160.0,160.0,160.0,1,Stable Price
Intel,poeent,350.0,350.0,350.0,1,Stable Price
Asus,anthonyswholesales,149.99,149.99,149.99,1,Stable Price
HP,ozsupertrade,158.23,158.23,158.23,1,Stable Price
Asus,pcxstream,125.0,125.0,125.0,1,Stable Price
Intel,coverzipllc,173.25,173.25,173.25,1,Stable Price
Microsoft,hung1966-2008,199.0,199.0,199.0,1,Stable Price
Acer,nsmcan,106.4,106.4,106.4,1,Stable Price
Intel,1195sandy,160.0,160.0,160.0,1,Stable Price
Dell,1195sandy,190.0,190.0,190.0,1,Stable Price
HP,jcelectronic.inc,155.0,130.0,180.0,2,Stable Price
Intel,jcelectronic.inc,227.25,160.0,330.0,4,Price Spike
Dell,jcelectronic.inc,180.0,180.0,180.0,1,Stable Price
Intel,ubidonline,265.0,265.0,265.0,1,Stable Price
Panasonic,bilfran82,199.0,199.0,199.0,1,Stable Price
HP,nextgenhardware14,174.95,174.95,174.95,1,Stable Price
Microsoft,nextgenhardware14,239.95,239.95,239.95,1,Stable Price
HP,deal_no.1,339.99,339.99,339.99,1,Stable Price
HP,banina_us,159.99,159.99,159.99,1,Stable Price
HP,systemliquidation,447.0,424.0,469.99,2,Stable Price
ThinkPad,systemliquidation,237.0,155.0,319.0,2,Price Spike
Dell,systemliquidation,280.67,174.0,359.0,9,Price Spike
Intel,systemliquidation,251.5,224.0,279.0,2,Stable Price
HP,micgrif_1060,150.0,150.0,150.0,1,Stable Price
Lenovo,xosortasweet,225.0,225.0,225.0,1,Stable Price
HP,opoboo,209.99,209.99,209.99,1,Stable Price
Dell,opoboo,249.99,249.99,249.99,1,Stable Price
Toshiba,tn4kaashop_1001,125.0,125.0,125.0,1,Stable Price
Intel,luckystrikes04,259.79,259.79,259.79,1,Stable Price
Dell,change-of-pace,249.95,249.95,249.95,1,Stable Price
Lenovo,alphamegaent2,240.0,240.0,240.0,1,Stable Price
Intel,qasqasi_uaecd,399.99,399.99,399.99,1,Stable Price
